Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
Salem State University,167729,41.77%,56.75%,59.09%,"42.503575, -70.890234",Salem,MA,,,www.salemstate.edu/,https://www.salemstate.edu/campus-life/student-navigation-center/financial-aid/net-price-calculator,34.23%,65.77%,,13 to 1,0.06%,0.08%,3.53%,9.31%,58.54%,2.20%,20.31%,3.51%,2.46%,0%,0%,11.56%,5.10%,76.53%,1.02%,5.10%,0.68%,0%,0%,16.59%,3.05%,2.01%,0%,2.08%,0.37%,0%,7.96%,0%,6.92%,0.52%,9.15%,0%,0%,0.89%,0%,0%,2.90%,4.39%,0%,0%,0.97%,0%,4.24%,22.40%,0%,0.22%,0%,0%,0%,0%,2.38%,8.71%,0%,0%,0%,4.24%,5046,1576,6622,18480,18480,17497,14590,54581,,Suburb: Large City,,,,,,,,,,,,,,,,,,,,Business Marketing: 22.4% | Health: 16.59% | Psychology: 9.15%,Business Marketing: 22.4% | Health: 16.59% | Psychology: 9.15% | Security Law Enforcement: 8.71% | Education: 7.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,34 mins,14.6 mi,34,0.9001,,Y,,,,,,,,,https://records.salemstate.edu/sites/default/files/reports/2023-07/CDS_2022-2023.pdf
Hampshire College,166018,52.97%,62.43%,64.02%,"42.325852, -72.531469",Amherst,MA,,,www.hampshire.edu/,https://npc.collegeboard.org/student/app/hampshire,38.06%,61.94%,,11 to 1,0.22%,0%,3.23%,7.96%,59.35%,5.38%,11.18%,6.45%,6.24%,0%,0%,9.76%,4.88%,65.85%,0%,14.63%,4.88%,0%,0.88%,0.44%,14.60%,0.88%,0%,3.54%,1.33%,0%,3.98%,3.54%,9.29%,0%,2.65%,1.33%,0%,0%,1.33%,0%,2.21%,11.06%,0%,3.98%,1.33%,0%,26.55%,0.88%,0%,1.77%,0%,0%,7.08%,0%,0%,0%,1.33%,0%,0%,0%,465,,,52738,52738,27461,14432,43491,,Suburb: Large City,,,,,,,,,,,,,,,,,,,,Visual Performing: 26.55% | English: 14.6% | Social Science: 11.06%,Visual Performing: 26.55% | English: 14.6% | Social Science: 11.06% | Biological: 9.29% | Ethnic Cultural Gender: 7.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,50 mins,40.4 mi,50,0.7515,43.60%,Y,Y,Y,,,15-Nov,1-Jan,"December 15, February 1",https://www.hampshire.edu/admissions/first-year-students,https://www.hampshire.edu/sites/default/files/2023-03/CDS%25202021-2022%2520Final.pdf
"University of Massachusetts, Dartmouth",167987,38.75%,54.13%,61.09%,"41.62869, -71.004552",North Dartmouth,MA,UMass Dartmouth,,www.umassd.edu/,https://umassd.studentaidcalculator.com/welcome.aspx,48.42%,51.58%,,15 to 1,0.12%,0.02%,3.52%,16.87%,58.60%,2.90%,11.43%,5.25%,1.28%,0.26%,0%,17.57%,2.84%,69.77%,2.84%,1.81%,3.36%,1.55%,0%,15.47%,2.68%,1.76%,0%,4.36%,0.23%,0%,0.38%,0%,4.36%,1.30%,7.58%,0%,12.33%,0.54%,1.07%,0%,0%,10.11%,0%,0.77%,1.30%,0%,7.35%,27.49%,0%,0.31%,0%,0%,0.54%,0%,0%,0%,0%,0%,0%,0.08%,5618,1884,7502,30153,30153,20910,15975,55113,,Suburb: Midsize City,234,,172,18,22,26,16,22,28,19,23,26,520,575,630,510,570,630,1144,Business Marketing: 27.49% | Health: 15.47% | Engineering: 12.33%,Business Marketing: 27.49% | Health: 15.47% | Engineering: 12.33% | Social Science: 10.11% | Psychology: 7.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVD,40 mins,34.9 mi,40,0.9222,0.30%,Y,,,,,,,,,https://www.umassd.edu/media/umassdartmouth/institutional-research/CDS_2020-2021.pdf
Suffolk University,168005,47.05%,60.32%,58.96%,"42.357945, -71.060917",Boston,MA,,,https://www.suffolk.edu/,https://suffolk.studentaidcalculator.com/survey.aspx,41.18%,58.82%,,13 to 1,0.19%,0.02%,7.55%,6.21%,50.04%,3.20%,14.71%,3.27%,14.81%,0.59%,0%,12.06%,4.12%,71.76%,7.94%,3.53%,0%,0%,6.71%,0%,1.41%,1.15%,0%,5.48%,0%,0%,1.24%,1.06%,4.95%,0.09%,6.27%,0%,0%,0.88%,0%,0%,9.10%,10.69%,0%,1.68%,1.24%,0%,3.98%,43.55%,0%,0.35%,0%,0%,0%,0%,0%,0.09%,0%,0%,0%,0.09%,4187,2420,6607,41648,41648,27861,18496,65950,,City: Large (pop. > 250k),234,,,,,,,,,23,26,29,530,580,630,550,600,650,1188,Business Marketing: 43.55% | Social Science: 10.69% | Communication: 9.1%,Business Marketing: 43.55% | Social Science: 10.69% | Communication: 9.1% | Legal: 6.71% | Psychology: 6.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,12 mins,3.5 mi,12,0.8803,4.00%,Y,,,,,,,,,
Wentworth Institute of Technology,168227,57.01%,71.75%,73.49%,"42.336632, -71.094983",Boston,MA,,,https://wit.edu/,https://wit.studentaidcalculator.com/survey.aspx,78.25%,21.75%,,16 to 1,0.08%,0.10%,9.93%,6.85%,60.04%,4.53%,10.55%,2.72%,5.20%,0%,0%,16.35%,4.40%,65.41%,8.81%,2.52%,0%,2.52%,0%,0%,0%,0%,0%,18.97%,0%,0%,0%,0%,0%,0%,0%,0%,38.58%,1.72%,10.45%,1.94%,0%,0%,0%,0%,0%,0%,6.68%,17.78%,0%,0%,0%,3.66%,0%,0.22%,0%,0%,0%,0%,0%,0%,3866,205,4071,37650,37650,29841,15420,81911,,City: Large (pop. > 250k),,,,25,29,32,23,27,30,25,28,30,580,625,670,560,610,660,1241,Engineering: 38.58% | Computer: 18.97% | Business Marketing: 17.78%,Engineering: 38.58% | Computer: 18.97% | Business Marketing: 17.78% | Architecture: 10.45% | Visual Performing: 6.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOS,18 mins,6.4 mi,18,0.8954,4.60%,,,,,,,,,,https://wit.edu/sites/default/files/2023-04/CDS_2022-2023.pdf
Western New England University,168254,54.24%,63.14%,64.88%,"42.115017, -72.520466",Springfield,MA,WNE,,www1.wne.edu/,www1.wne.edu/enrollment-services/billing-and-finances/finance-calculator.cfm,57.74%,42.26%,,13 to 1,0.16%,0.16%,2.83%,5.20%,74.68%,2.91%,9.65%,2.56%,1.86%,0%,0%,9.39%,3.76%,73.71%,6.10%,0.47%,5.16%,1.41%,0.79%,10.73%,1.19%,0.66%,0%,3.44%,0%,0%,1.06%,0%,2.65%,0.13%,5.83%,0%,20.00%,0.26%,0%,0%,2.12%,1.59%,0%,0%,1.46%,0%,0.26%,39.07%,0%,0.13%,0%,0%,0.13%,0%,3.05%,4.50%,0%,0%,0%,0.93%,2579,1052,3631,40380,40380,29806,14430,66181,,City: Midsize (250k > pop. > 100k),234,,,,,,,,,24,28,32,568,604,640,560,600,640,1209,Business Marketing: 39.07% | Engineering: 20.0% | Health: 10.73%,Business Marketing: 39.07% | Engineering: 20.0% | Health: 10.73% | Psychology: 5.83% | Security Law Enforcement: 4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,33 mins,18.8 mi,33,0.8988,0%,,,,,,,,,,https://www1.wne.edu/institutional-research/standard-dept-folder/doc/CDS_2019-2020.pdf
Westfield State University,168263,46.17%,60.57%,62.14%,"42.132698, -72.796503",Westfield,MA,,,www.westfield.ma.edu/,www.westfield.ma.edu/netprice/,44.39%,55.61%,,21 to 1,0.35%,0%,2.19%,4.98%,73.80%,3.98%,10.95%,3.30%,0.45%,0%,0%,10.63%,8.21%,75.85%,0%,5.31%,0%,0%,0%,9.46%,2.05%,2.15%,0%,2.54%,0%,0%,11.02%,3.51%,4.29%,4.00%,8.49%,0%,0%,0.98%,0.39%,0%,7.22%,4.10%,0%,0%,0.29%,0%,2.63%,14.44%,0%,0%,0%,0%,0.10%,0%,5.46%,14.24%,0%,0%,0%,2.63%,3974,774,4748,17219,17219,19589,12197,52899,,Suburb: Large City,,,,,,,,,,17,20,22,490,540,590,490,545,600,1084,Business Marketing: 14.44% | Security Law Enforcement: 14.24% | Education: 11.02%,Business Marketing: 14.44% | Security Law Enforcement: 14.24% | Education: 11.02% | Health: 9.46% | Psychology: 8.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,33 mins,19.7 mi,33,0.9435,,,,,,,,,,,https://www.westfield.ma.edu/documents/cds2021-2022-1pdf&sa=U&ved=2ahUKEwjtk5_b5pKBAxXoEFkFHTB-CfMQFnoECAcQAg&usg=AOvVaw24shaVEh1-wFc_kf2-Ufdj
Worcester State University,168430,46.95%,60.90%,60.21%,"42.267526, -71.844018",Worcester,MA,,,https://www.worcester.edu/,https://www.worcester.edu/NetPriceCalculator/npcalc.htm,38.30%,61.70%,,14 to 1,0.16%,0%,5.29%,7.87%,65.02%,2.90%,14.14%,3.32%,1.29%,1.92%,0.48%,7.21%,2.88%,78.37%,0%,8.65%,0%,0.48%,0%,19.52%,2.20%,2.97%,0%,2.11%,0.10%,0%,6.32%,1.44%,9.28%,2.87%,12.73%,0%,0%,0.86%,0%,0%,5.84%,6.60%,0%,0%,1.05%,0%,0.86%,16.84%,0%,0%,0%,0%,0%,0%,0%,8.42%,0%,0%,0%,0%,4271,777,5048,16666,16666,13627,12568,59518,,City: Midsize (250k > pop. > 100k),,,,21,23,24,22,23,24,23,24,24,520,557,593,510,555,600,1113,Health: 19.52% | Business Marketing: 16.84% | Psychology: 12.73%,Health: 19.52% | Business Marketing: 16.84% | Psychology: 12.73% | Biological: 9.28% | Security Law Enforcement: 8.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVD,59 mins,49.3 mi,59,0.8932,0%,Y,,,,,,,,,https://webcdn.worcester.edu/wp-content/uploads/2022/05/WSU-Common-Data-Set-2018-2019.pdf
Adrian College,168528,39.18%,52.69%,46.30%,"41.898591, -84.061481",Adrian,MI,,,www.adrian.edu/,adrian.edu/admissions/financial-aid/financial-aid-calculator/,53.42%,46.58%,,15 to 1,0.11%,0.46%,0.69%,7.47%,63.70%,12.58%,5.86%,3.79%,5.34%,0%,0%,2.35%,2.35%,91.76%,1.18%,1.18%,1.18%,0%,0%,3.49%,2.14%,1.07%,0%,0%,0.27%,0%,6.43%,1.34%,8.04%,3.49%,1.34%,0%,0%,1.07%,0%,0%,3.49%,2.95%,0%,0.27%,3.22%,0%,9.92%,25.74%,0%,1.07%,0%,0%,0.54%,0.54%,15.01%,6.97%,0%,0%,0%,1.61%,1741,66,1807,39107,39107,23587,12590,52959,United Methodist,Town: Distant,,,,17,22,26,18,21,24,19,22,25,460,515,570,480,530,580,1064,Business Marketing: 25.74% | Parks Recreation Fitness: 15.01% | Visual Performing: 9.92%,Business Marketing: 25.74% | Parks Recreation Fitness: 15.01% | Visual Performing: 9.92% | Biological: 8.04% | Security Law Enforcement: 6.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOL,44 mins,35.4 mi,44,0.7599,,,,,,,,,,,
Alma College,168591,53.87%,62.80%,67.91%,"43.38004, -84.672053",Alma,MI,,,alma.edu/,alma.edu/admissions/financial-aid/aid-calculators/net-price-calculator.php,42.52%,57.48%,,13 to 1,0.38%,0.08%,1.15%,4.20%,82.90%,0.84%,4.50%,3.74%,2.21%,0%,0%,9.89%,3.30%,84.62%,0%,2.20%,0%,0%,0%,18.46%,3.36%,4.03%,0%,1.34%,0.67%,0%,9.40%,4.70%,10.40%,0%,8.72%,0%,0.34%,1.01%,0%,0%,5.70%,3.69%,0%,0.34%,7.05%,0%,5.37%,14.77%,0%,0.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1310,13,1323,43872,43872,23437,12138,51997,Presbyterian Church (USA),Town: Distant,,,,,,,,,,,,,,,,,,,,Health: 18.46% | Business Marketing: 14.77% | Biological: 10.4%,Health: 18.46% | Business Marketing: 14.77% | Biological: 10.4% | Education: 9.4% | Psychology: 8.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBS,54 mins,41.1 mi,54,0.6878,0.70%,,,,,,,,,,https://www.alma.edu/live/files/3847-2019-20-cds-general-info-001&sa=U&ved=2ahUKEwjtg8vj5pKBAxWEjIkEHSHiA5sQFnoECAYQAg&usg=AOvVaw3vrFJzrFFD5c2juI0_D_nd
Cleary University,169327,34.69%,50.98%,11.63%,"42.586638, -83.879987",Howell,MI,Cleary College,,www.cleary.edu/,cleary.edu/admissions/financial-aid/net-price-calculator/,60.95%,39.05%,,18 to 1,0.65%,0%,0.49%,14.54%,58.82%,25.33%,0.16%,0%,0%,0%,0%,0%,14.29%,85.71%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,612,139,751,22230,22230,19284,12600,57487,,Suburb: Midsize City,,,,17,18,18,17,19,21,18,19,19,480,530,580,470,530,590,1059,Business Marketing: 100% | Legal: 0% | Health: 0%,Business Marketing: 100% | Legal: 0% | Health: 0% | English: 0% | History: 0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTW,52 mins,50.1 mi,52,0.7587,,,,,,,,,,,
College for Creative Studies,169442,40.54%,61.78%,71.10%,"42.361839, -83.062352",Detroit,MI,CCS,,https://www.collegeforcreativestudies.edu/,https://www.collegeforcreativestudies.edu/admissions/scholarships-aid/undergraduate/net-price-calculator,37.60%,62.40%,,10 to 1,0.28%,0.28%,5.10%,12.58%,54.16%,7.97%,6.43%,5.10%,8.11%,0%,0%,1.92%,11.54%,82.69%,0%,3.85%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,74.59%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24.18%,0%,0%,0%,1431,62,1493,47585,47585,34961,8350,52577,,City: Large (pop. > 250k),,,,,,,,,,,,,,,,,,,,Visual Performing: 74.59% | Communications Technology: 24.18% | Education: 1.23%,Visual Performing: 74.59% | Communications Technology: 24.18% | Education: 1.23% | Legal: 0% | Health: 0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTW,26 mins,20.5 mi,26,0.538,,Y,,,,,,,,,
Hillsdale College,170286,77.62%,87.57%,85.51%,"41.933682, -84.633195",Hillsdale,MI,,,https://www.hillsdale.edu/,https://www.hillsdale.edu/admissions-aid/financial-aid/tuition-and-costs/,50.77%,49.23%,,8 to 1,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,8.02%,8.02%,0%,0%,7.41%,0%,0%,0%,12.35%,0%,4.94%,0%,0%,5.56%,0%,0%,1.85%,21.30%,0%,0%,2.47%,0%,4.01%,13.27%,0%,5.56%,0%,0%,0.93%,0%,4.32%,0%,0%,0%,0%,0%,1495,87,1582,30042,30042,,12140,,Undenominational,Town: Distant,,,,33,34,35,27,30,32,30,32,34,660,705,750,680,720,760,1441,Social Science: 21.3% | Business Marketing: 13.27% | Biological: 12.35%,Social Science: 21.3% | Business Marketing: 13.27% | Biological: 12.35% | English: 8.02% | History: 8.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOL,1 hour 17 mins,70.0 mi,77,0.2368,0%,,Y,,,,1-Nov,,Early December,https://www.hillsdale.edu/admissions-aid/admissions/application-process/,
Lake Superior State University,170639,30.34%,52.37%,49.14%,"46.492849, -84.365573",Sault Ste Marie,MI,,,www.lssu.edu/,www.lssu.edu/financial-aid/net-price-calculator/,45.07%,54.93%,,16 to 1,5.78%,0%,0.69%,0.82%,47.77%,42.37%,1.26%,0%,1.32%,1.08%,0%,4.30%,0%,79.57%,2.15%,0%,12.90%,0%,0%,8.68%,0.75%,0.38%,0%,1.51%,0%,0%,4.15%,7.17%,7.17%,7.92%,2.08%,0%,4.34%,0.57%,0%,0%,0%,3.21%,0%,0.38%,5.09%,1.13%,0%,13.02%,0.19%,0%,0%,2.08%,0%,0%,7.74%,21.32%,0%,0%,0%,1.13%,1593,,,13200,13200,14035,11516,47666,,Town: Remote,,,,17,22,26,17,22,26,18,23,27,470,520,570,480,535,590,1069,Security Law Enforcement: 21.32% | Business Marketing: 13.02% | Health: 8.68%,Security Law Enforcement: 21.32% | Business Marketing: 13.02% | Health: 8.68% | Humanities: 7.92% | Parks Recreation Fitness: 7.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBS,3 hours 28 mins,244 mi,208,0.7329,,,,,,,,,,,https://www.lssu.edu/wp-content/uploads/2021/08/CDS_2020-2021.pdf
Kuyper College,171881,2.63%,50.00%,90.00%,"43.02195, -85.592657",Grand Rapids,MI,,,https://www.kuyper.edu/,https://www.kuyper.edu/globalassets/images/tuition--aid/index.html,35.87%,64.13%,,8 to 1,0%,1.09%,4.35%,8.70%,51.09%,19.57%,6.52%,7.61%,1.09%,0%,0%,0%,14.29%,85.71%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.78%,13.89%,0%,0%,0%,0%,0%,0%,2.78%,0%,0%,0%,0%,0%,0%,38.89%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11.11%,30.56%,92,13,105,24630,24630,21208,8080,38728,Other Protestant,Suburb: Large City,,,,,,,,,,,,,,,,,,,,Business Marketing: 38.89% | Public Administration Social Service: 30.56% | Humanities: 13.89%,Business Marketing: 38.89% | Public Administration Social Service: 30.56% | Humanities: 13.89% | Theology Religious Vocation: 11.11% | Biological: 2.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBN,1 hour 53 mins,121 mi,113,0.6887,,,,,,,,,,,
Siena Heights University,172264,37.75%,50.99%,47.97%,"41.905624, -84.018841",Adrian,MI,,,www.sienaheights.edu/,sienaheights.edu/FinancialAid/NetPriceCalculator.aspx,43.17%,56.83%,,12 to 1,0.55%,0.06%,1.04%,11.28%,65.06%,7.20%,7.38%,4.33%,3.11%,0%,0%,2.33%,2.33%,93.02%,0%,1.16%,0%,1.16%,0%,30.19%,0.93%,0%,0%,2.48%,2.79%,0%,2.63%,0.31%,1.86%,4.33%,2.94%,0.15%,0.46%,0.62%,0%,0%,3.87%,0.31%,0.15%,0.15%,0.31%,0.15%,1.39%,21.05%,0.15%,0%,0%,1.70%,2.17%,0.15%,1.39%,8.67%,1.55%,1.08%,0%,6.04%,1640,184,1824,28502,28502,21553,11720,50438,Roman Catholic,Town: Distant,,,,,,,,,,,,,,,,,,,,Health: 30.19% | Business Marketing: 21.05% | Security Law Enforcement: 8.67%,Health: 30.19% | Business Marketing: 21.05% | Security Law Enforcement: 8.67% | Public Administration Social Service: 6.04% | Humanities: 4.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOL,43 mins,32.5 mi,43,0.6844,,,,,,,,,,,
Academy College,172866,40.00%,100%,,"44.855722, -93.299809",Bloomington,MN,,,www.academycollege.edu/,https://www.academycollege.edu/wp-content/uploads/2019/03/index-3.html,91.46%,8.54%,,6 to 1,2.44%,0%,3.66%,1.22%,57.32%,34.15%,1.22%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,92.31%,0%,0%,0%,0%,7.69%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,82,,,18644,18644,30682,,43571,,City: Small (pop. < 100k),,,,,,,,,,,,,,,,,,,,Transportation: 92.31% | Business Marketing: 7.69% | Legal: 0%,Transportation: 92.31% | Business Marketing: 7.69% | Legal: 0% | Health: 0% | English: 0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSP,11 mins,5.7 mi,11,,,,,,,,,,,,
Augsburg University,173045,45.07%,58.07%,58.79%,"44.966307, -93.240436",Minneapolis,MN,,,www.augsburg.edu/,https://admissions.augsburg.edu/register/NPC,44.20%,55.80%,,13 to 1,0.72%,0.13%,10.61%,23.40%,40.54%,3.20%,13.47%,5.67%,2.26%,1.78%,0.59%,9.47%,3.55%,75.15%,1.78%,4.14%,0%,3.55%,0%,13.48%,2.06%,1.31%,0%,3.93%,0%,0%,8.80%,0.37%,6.55%,2.06%,9.74%,0%,0%,1.31%,0%,0%,3.93%,7.12%,0%,1.50%,0.56%,0%,8.24%,19.29%,0%,0.37%,0%,0%,0.56%,0%,4.12%,0%,0%,0%,0.37%,4.31%,2346,803,3149,41007,41007,24052,11222,56814,Evangelical Lutheran Church,City: Large (pop. > 250k),,,,16,20,24,15,19,23,17,21,24,628,691,753,560,592,623,1074,Business Marketing: 19.29% | Health: 13.48% | Psychology: 9.74%,Business Marketing: 19.29% | Health: 13.48% | Psychology: 9.74% | Education: 8.8% | Visual Performing: 8.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSP,19 mins,13.6 mi,19,0.7637,,,,,,,,,,,
Minnesota State University Moorhead,174358,39.30%,56.92%,54.93%,"46.867153, -96.759532",Moorhead,MN,MSU Moorhead or MSUM,,https://www.mnstate.edu/,https://www.mnstate.edu/cost-aid/net-price-calculator.aspx,37.80%,62.20%,,18 to 1,0.61%,0.05%,1.61%,4.92%,80.86%,0.58%,3.97%,3.89%,3.49%,0%,0%,5.79%,1.58%,84.21%,1.58%,1.58%,4.21%,1.05%,1.65%,10.72%,1.28%,0.37%,0%,4.95%,0.27%,0%,16.04%,0.37%,4.31%,0.64%,4.12%,0%,0.09%,0.27%,0%,0%,4.12%,3.48%,0%,3.85%,1.01%,0%,5.68%,23.28%,0%,0.27%,0%,0%,0.18%,0%,3.57%,2.20%,2.11%,0%,0%,5.13%,3778,1062,4840,17564,17564,17653,9830,49476,,Suburb: Midsize City,,,,17,21,24,18,22,25,19,22,25,530,565,600,510,545,580,1120,Business Marketing: 23.28% | Education: 16.04% | Health: 10.72%,Business Marketing: 23.28% | Education: 16.04% | Health: 10.72% | Visual Performing: 5.68% | Public Administration Social Service: 5.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YWG,3 hours 46 mins,233 mi,226,0.7171,,,,,,,,,,,https://www.mnstate.edu/globalassets/about/institutional-effectiveness/cds-2021-2022.pdf/&sa=U&ved=2ahUKEwiXltj85pKBAxXyFVkFHa87AbwQFnoECAUQAg&usg=AOvVaw2wv8MakOaN2Lzfs0gumsp3
